Legacy Site Name,Description,Website Name,Corporate Name,Email Communication Sent,Analytics Tag,JIRA Ticket,Notes,
journalstar,Lincoln Journal Star,journalstar.com,"Lee Enterprises, Inc.",,,,,
journaltimes,Racine Journal Times,journaltimes.com,"Lee Enterprises, Inc.",,,,,
journaltribune,Journal Tribune,journaltribune.com,"MaineToday Media, Inc.",,,,,
jsonline,Milwaukee Journal Sentinel,JSOnline.com,"Gannett Co., Inc.",,,,,
julesburgadvocate,Julesburg Advocate,julesburgadvocate.com,DFM-Digital First Media Inc.,x,"<!-- Global site tag (gtag.js) - Google Analytics -->
<script async src=""https://www.googletagmanager.com/gtag/js?id=UA-61435456-9""></script>
<script>
  window.dataLayer = window.dataLayer || [];
  function gtag(){dataLayer.push(arguments);}
  gtag('js', new Date());

  gtag('config', 'UA-61435456-9', {send_page_view: false,
   'custom_map': {
	'dimension2': 'Publisher Domain',
	'dimension3': 'Publisher Product',
	'dimension12': 'Digital Publisher',
	'dimension14': 'Section',
	'dimension15': 'Taxonomy1',
	'dimension24': 'Page Type'
     
   }
});

gtag('event', 'page_view', {
	'Publisher Domain': 'julesburgadvocate.com',
	'Publisher Product': 'julesburgadvocate.com',
	'Digital Publisher': 'legacy.com',
	'Section': 'Obituaries',
	'Taxonomy1': 'Obituaries',
	'Page Type': 'Obits',
    send_to: 'UA-61435456-9'});
</script>",CS-34847,The paper would like to see a tag on a test site (just one DFM site) before we implement the tags to all of their sites.,
juneauempire,Juneau Empire,juneauempire.com,"Sound Publishing, Inc.",,,,,
kalamazoo,Kalamazoo Gazette,Mlive.com,"Advance Publications, Inc.",,,,,
kamloopsthisweek,Kamloops This Week,kamloopsthisweek.com,Glacier Media Inc.,,,,,
kamsacktimes,Kamsack Times,kamsacktimes.com,Glacier Media Inc.,,,,,
kanerepublican,Kane Republican,kanerepublican.com,Heritage Publications,,,,,
kansas,Wichita Eagle,Kansas.com,The McClatchy Company,,,,,
kansascity,Kansas City Star,KansasCity.com,The McClatchy Company,,,,,
kcchronicle,Kane County Chronicle,kcchronicle.com,Shaw Media,,,,,
kearneyhub,Kearney Hub,KearneyHub.com,"Lee Enterprises, Inc.",,,,,
keloland,KELOLAND,www.keloland.com,Nexstar Media Group,,,,,
kendallcountynow,Kendall County Now,kendallcountynow.com,Shaw Media,,,,,
kenilworthweeklynews-uk,Kenilworth Weekly News,kenilworthweeklynews.co.uk,Johnston Press plc,,,,,
kenosha,Kenosha.com,www.kenosha.com,Kenosha.com,,,,,
kenoshanews,Kenosha News,kenoshanews.com,"Lee Enterprises, Inc.",,,,,
kentucky,Lexington Herald-Leader,Kentucky.com,The McClatchy Company,,,,,
kewauneecountynews,Kewaunee County Star-News,kewauneecountynews.com,"Gannett Co., Inc.",,,,,
kincardineshireobserver-uk,Kincardineshire Observer,kincardineshireobserver.co.uk,Johnston Press plc,,,,,
kingcityrustler,King City Rustler,https://kingcityrustler.com/,New SV Media,,,,,
kinston,Free Press,kinston.com,"Gatehouse Media, Inc.",,,,,
kiplingcitizen,The Kipling Citizen,kiplingcitizen.ca,Glacier Media Inc.,,,,,
kirkintilloch-herald-uk,Kirkintilloch Herald,kirkintilloch-herald.co.uk,Johnston Press plc,,,,,
kirksvilledailyexpress,Kirksville Daily Express,www.kirksvilledailyexpress.com/,"Gatehouse Media, Inc.",,,,,
kitchenerpost,The Kitchener Post,https://www.kitchenerpost.ca/,Torstar Corporation,x,"This tag for Dev/QA/Staging etc sites:

<script src=""//assets.adobedtm.com/cf7f3d5747a0/f46648a2c5e6/launch-c4f646220e41-development.min.js"" async></script>

And this tag for Production:

<script src=""//resources.thestar.com/cf7f3d5747a0/f46648a2c5e6/launch-e805e17faa6d.min.js"" async></script>

Placed as high in the head as possible.
",CS-34847,The paper would like to see the tag on a test site (just one Torstar site) before we implement the tag to all of their sites.,
kitsapsun,Kitsap Sun,kitsapsun.com,"Gannett Co., Inc.",,,,,
knoxnews,Knoxville News Sentinel,knoxnews.com,"Gannett Co., Inc.",,,,,
kpcnews,KPCNews,kpcnews.com,KPC Media,,,,,
kunamelbanews,Kuna Melba News,kunamelbanews.com,"APG - Adams Publishing Company, LLC",,,,,
kvonline-info,Kankakee Valley Post News,kvonline.info,"CMG - Community Media Group, Inc.",,,,,
kystandard,The Kentucky Standard,kystandard.com,"Landmark Communications, Inc.",,,,,
lacanadaonline,La Ca¤ada Valley Sun,lacanadaonline.com,NantMedia Holdings,,,,,
laclabichepost,The Lac La Biche Post,laclabichepost.com,Great West,,,,,
lacrossetribune,La Crosse Tribune,lacrossetribune.com,"Lee Enterprises, Inc.",,,,,
ladailynews,Los Angeles Daily News,DailyNews.com,DFM-Digital First Media Inc.,x,"<!-- Global site tag (gtag.js) - Google Analytics -->
<script async src=""https://www.googletagmanager.com/gtag/js?id=UA-61435456-15""></script>
<script>
  window.dataLayer = window.dataLayer || [];
  function gtag(){dataLayer.push(arguments);}
  gtag('js', new Date());

  gtag('config', 'UA-61435456-15', {send_page_view: false,
   'custom_map': {
	'dimension2': 'Publisher Domain',
	'dimension3': 'Publisher Product',
	'dimension12': 'Digital Publisher',
	'dimension14': 'Section',
	'dimension15': 'Taxonomy1',
	'dimension24': 'Page Type'
     
   }
});

gtag('event', 'page_view', {
	'Publisher Domain': 'dailynews.com',
	'Publisher Product': 'dailynews.com',
	'Digital Publisher': 'legacy.com',
	'Section': 'Obituaries',
	'Taxonomy1': 'Obituaries',
	'Page Type': 'Obits',
    send_to: 'UA-61435456-15'});
</script>",CS-34847,The paper would like to see a tag on a test site (just one DFM site) before we implement the tags to all of their sites.,
lafollettepress,LaFollette Press,lafollettepress.com,"Landmark Communications, Inc.",,,,,
lagrangenews,LaGrange Daily News,lagrangenews.com,Civitas Media LLC.,,,,,
lajollalight,La Jolla Light,lajollalight.com,NantMedia Holdings,,,,,
lajuntatribunedemocrat,LA Junta Tribune,lajuntatribunedemocrat.com,"Gatehouse Media, Inc.",,,,,
lake-county-news-sun,Lake County News Sun,ChicagoTribune.com,Tribune Publishing,x,"<!-- Google Tag Manager -->
<script>(function(w,d,s,l,i){w[l]=w[l]||[];w[l].push({'gtm.start':
new Date().getTime(),event:'gtm.js'});var f=d.getElementsByTagName(s)[0],
j=d.createElement(s),dl=l!='dataLayer'?'&l='+l:'';j.async=true;j.src=
'https://www.googletagmanager.com/gtm.js?id='+i+dl;f.parentNode.insertBefore(j,f);
})(window,document,'script','dataLayer','GTM-KSNSZQ6');</script>
<!-- End Google Tag Manager -->
Additionally, paste this code immediately after the opening <body> tag:
<!-- Google Tag Manager (noscript) -->
<noscript><iframe src=""https://www.googletagmanager.com/ns.html?id=GTM-KSNSZQ6""
height=""0"" width=""0"" style=""display:none;visibility:hidden""></iframe></noscript>
<!-- End Google Tag Manager (noscript) -->",CS-34847,Client is requesting a comScore traffic assignment. Is this possible? Copy the code below and paste it onto every page of your website. Paste this code as high in the <head> of the page as possible,
lakecityreporter,Lake City Reporter,lakecityreporter.com,"Community Newspapers, Inc.",,,,,
lakecountystar,The Lake County Star,lakecountystar.com,Hearst Newspapers,,,,,
LakeCountySuburbanLife,Lake County Suburban Life,lakecountysuburbanlife.com,Shaw Media,,,,,
lakegazette,Lake Gazette,lakegazette.net,"Lakeway Publishers, Inc.",,,,,
lakegenevanews,Lake Geneva Regional News,lakegenevanews.net,"Lee Enterprises, Inc.",,,,,
LakeMillsLeader,Lake Mills Leader,https://www.hngnews.com/lake_mills_leader/,"APG - Adams Publishing Company, LLC",,,,,
lakeshorechronicle,Manitowoc Lakeshore Chronicle,HTRNews.com,"Gannett Co., Inc.",,,,,
lamarledger,The Lamar Ledger,lamarledger.com,DFM-Digital First Media Inc.,x,"<!-- Global site tag (gtag.js) - Google Analytics -->
<script async src=""https://www.googletagmanager.com/gtag/js?id=UA-61435456-9""></script>
<script>
  window.dataLayer = window.dataLayer || [];
  function gtag(){dataLayer.push(arguments);}
  gtag('js', new Date());

  gtag('config', 'UA-61435456-9', {send_page_view: false,
   'custom_map': {
	'dimension2': 'Publisher Domain',
	'dimension3': 'Publisher Product',
	'dimension12': 'Digital Publisher',
	'dimension14': 'Section',
	'dimension15': 'Taxonomy1',
	'dimension24': 'Page Type'
     
   }
});

gtag('event', 'page_view', {
	'Publisher Domain': 'lamarledger.com',
	'Publisher Product': 'lamarledger.com',
	'Digital Publisher': 'legacy.com',
	'Section': 'Obituaries',
	'Taxonomy1': 'Obituaries',
	'Page Type': 'Obits',
    send_to: 'UA-61435456-9'});
</script>",CS-34847,The paper would like to see a tag on a test site (just one DFM site) before we implement the tags to all of their sites.,
lancastereaglegazette,Lancaster Eagle-Gazette,lancastereaglegazette.com,"Gannett Co., Inc.",,,,,
lancasterguardian-uk,Lancaster Guardian,lancasterguardian.co.uk,Johnston Press plc,,,,,
laramieboomerang,Laramie Boomerang,https://www.laramieboomerang.com/,"APG - Adams Publishing Company, LLC",,,,,
larnetimes-ie,Larne Times,larnetimes.co.uk,Johnston Press plc,,,,,
laruecountyherald,The Larue County Herald News,laruecountyherald.com,"Landmark Communications, Inc.",,,,,
lasvegasoptic,Las Vegas Optic,lasvegasoptic.com,"Landmark Communications, Inc.",,,,,
latimes,Los Angeles Times,latimes.com,NantMedia Holdings,,,,,
laurinburgexchange,Laurinburg Exchange,laurinburgexchange.com,"Champion Media, LLC",,,,,
lbpresstelegram,Press-Telegram,PressTelegram.com,DFM-Digital First Media Inc.,x,"<!-- Global site tag (gtag.js) - Google Analytics -->
<script async src=""https://www.googletagmanager.com/gtag/js?id=UA-61435456-15""></script>
<script>
  window.dataLayer = window.dataLayer || [];
  function gtag(){dataLayer.push(arguments);}
  gtag('js', new Date());

  gtag('config', 'UA-61435456-15', {send_page_view: false,
   'custom_map': {
	'dimension2': 'Publisher Domain',
	'dimension3': 'Publisher Product',
	'dimension12': 'Digital Publisher',
	'dimension14': 'Section',
	'dimension15': 'Taxonomy1',
	'dimension24': 'Page Type'
     
   }
});

gtag('event', 'page_view', {
	'Publisher Domain': 'presstelegram.com',
	'Publisher Product': 'presstelegram.com',
	'Digital Publisher': 'legacy.com',
	'Section': 'Obituaries',
	'Taxonomy1': 'Obituaries',
	'Page Type': 'Obits',
    send_to: 'UA-61435456-15'});
</script>",CS-34847,The paper would like to see a tag on a test site (just one DFM site) before we implement the tags to all of their sites.,
lcsun-news,Las Cruces Sun-News,LCsun-news.com,"Gannett Co., Inc.",,,,,
ldnews,Lebanon Daily News,LDNews.com,"Gannett Co., Inc.",,,,,
leader-vindicator,The Leader Vindicator,leader-vindicator.com,"CMG - Community Media Group, Inc.",,,,,
leadertelegram,Leader Telegram,www.leadertelegram.com/,"APG - Adams Publishing Company, LLC",,,,,
leadertimes,Leader Times,leadertimes.com,"Sample News Group, LLC",,,,,
leaderunion,The Leader-Union,leaderunion.com,Better Newspapers,,,,,
leamingtoncourier-uk,Leamington Courier,leamingtoncourier.co.uk,Johnston Press plc,,,,,
lebanon-express,Lebanon Express,https://lebanon-express.com/,"Lee Enterprises, Inc.",,,,,
lebanonenterprise,The Lebanon Enterprise,lebanonenterprise.com,"Landmark Communications, Inc.",,,,,
ledger-enquirer,Columbus Ledger-Enquirer,Ledger-Enquirer.com,The McClatchy Company,,,,,
ledgertranscript,Monadnock Ledger-Transcript,ledgertranscript.com,Newspapers of New England,,,,,
leedstribune,The Leeds Tribune,leedstribune.com/,Kingfisher Media,,,,,
leesvilledailyleader,Leesville Daily Leader,leesvilledailyleader.com,"Gatehouse Media, Inc.",,,,,
legacy-ia,Legacy-ia,https://legacy-ia.com/,Non-Newspaper,,,,,
leighobserver-uk,Leigh Observer,leighobserver.co.uk,Johnston Press plc,,,,,
leightonbuzzardonline-uk,Leighton Buzzard Observer,leightonbuzzardonline.co.uk,Johnston Press plc,,,,,
lenconnect,The Daily Telegram,lenconnect.com,"Gatehouse Media, Inc.",,,,,
lep-uk,The Lancashire Evening Post,lep.co.uk,Johnston Press plc,,,,,
LeSueurCountyNews,Le Sueur County News,https://www.southernminn.com/le_sueur_county_news/,"APG - Adams Publishing Company, LLC",,,,,
lexch,Lexington Clipper-Herald,lexch.com,"Lee Enterprises, Inc.",,,,,
leylandguardian-uk,Leyland Guardian,leylandguardian.co.uk,Johnston Press plc,,,,,
limaohio,The Lima News,limaohio.com,AIM Media Management of Dallas,,,,,
lincolncountynewspapergroup,Lincoln County Newspaper Group,lincolncountyjournal.com,"Lakeway Publishers, Inc.",,,,,
lincolncourier,The Lincoln Courier,lincolncourier.com,"Gatehouse Media, Inc.",,,,,
lincolnnewsmessenger,Lincoln News Messenger,LincolnNewsMessenger.com,"Brehm Communications, Inc.",,,,,
linlithgowgazette-uk,Linlithgow Journal and Gazette,linlithgowgazette.co.uk,Johnston Press plc,,,,,
linncountyleader,Linn County Leader,www.linncountyleader.com/,"Gatehouse Media, Inc.",,,,,
lisburntoday-ie,Ulster Star,lisburntoday.co.uk,Johnston Press plc,,,,,
litchfieldcountytimes,Litchfield County Times,countytimes.com,Hearst Newspapers,,,,,
littlehamptongazette-uk,Littlehampton Gazette,littlehamptongazette.co.uk,Johnston Press plc,,,,,
livingstondaily,Livingston Daily Press & Argus,livingstondaily.com,"Gannett Co., Inc.",,,,,
ljworld,Lawrence Journal-World,ljworld.com,"Ogden Newspapers, Inc.",,,,,
lmlamplighter,La Mirada Lamplighter,lmlamplighter.com,Hews Media Group,,,,,
LodiEnterprise,Lodi Enterprise & Poynette Press,https://www.hngnews.com/lodi_enterprise/,"APG - Adams Publishing Company, LLC",,,,,
lodinews,Lodi-News Sentinel,LodiNews.com,Heritage Publications,,,,,
logandaily,Logan Daily News,logandaily.com,"APG - Adams Publishing Company, LLC",,,,,
loganwoodbine,Twiner-Herald,https://loganwoodbine.com/,"Lee Enterprises, Inc.",,,,,
lohud,The Journal News,lohud.com,"Gannett Co., Inc.",,,,,
lompocrecord,Lompoc Record,LompocRecord.com,Heritage Publications,,,,,
londonderrysentinel-ie,Londonderry Sentinel,londonderrysentinel.co.uk,Johnston Press plc,,,,,
